Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0603_1608Metric",154.724000,-51.257200,180.000000,bottom
"C2","22pF","C_0603_1608Metric",152.743000,-64.770000,180.000000,bottom
"C3","10uF","C_0603_1608Metric",174.219000,-51.155600,90.000000,bottom
"C4","0.1uF","C_0603_1608Metric",177.775000,-51.168600,90.000000,bottom
"C5","1uF","C_0603_1608Metric",152.756000,-66.954400,0.000000,bottom
"C6","0.1uF","C_0603_1608Metric",172.441000,-51.168600,90.000000,bottom
"C7","0.1uF","C_0603_1608Metric",175.997000,-51.168600,90.000000,bottom
"C101","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",185.420000,-81.915000,90.000000,bottom
"C102","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",181.610000,-82.142500,90.000000,bottom
"C103","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",179.705000,-82.142500,90.000000,bottom
"D1","1N4148","D_SOD-323_HandSoldering",151.892000,-127.254000,270.000000,bottom
"D2","1N4148","D_SOD-323_HandSoldering",158.496000,-127.254000,270.000000,bottom
"D3","1N4148","D_SOD-323_HandSoldering",165.100000,-127.254000,270.000000,bottom
"D4","1N4148","D_SOD-323_HandSoldering",171.704000,-127.254000,270.000000,bottom
"D5","1N4148","D_SOD-323_HandSoldering",178.308000,-127.254000,270.000000,bottom
"D6","1N4148","D_SOD-323_HandSoldering",185.166000,-127.254000,270.000000,bottom
"D7","1N4148","D_SOD-323_HandSoldering",191.770000,-127.254000,270.000000,bottom
"D8","1N4148","D_SOD-323_HandSoldering",198.374000,-127.254000,270.000000,bottom
"D9","1N4148","D_SOD-323_HandSoldering",204.978000,-127.254000,270.000000,bottom
"D10","1N4148","D_SOD-323_HandSoldering",211.582000,-127.274000,270.000000,bottom
"D11","1N4148","D_SOD-323_HandSoldering",206.908000,-114.879000,270.000000,bottom
"D12","1N4148","D_SOD-323_HandSoldering",203.454000,-113.391000,270.000000,bottom
"D13","1N4148","D_SOD-323_HandSoldering",151.892000,-134.874000,270.000000,bottom
"D14","1N4148","D_SOD-323_HandSoldering",158.496000,-134.874000,270.000000,bottom
"D15","1N4148","D_SOD-323_HandSoldering",165.100000,-134.874000,270.000000,bottom
"D16","1N4148","D_SOD-323_HandSoldering",171.704000,-134.874000,270.000000,bottom
"D17","1N4148","D_SOD-323_HandSoldering",178.562000,-134.874000,270.000000,bottom
"D18","1N4148","D_SOD-323_HandSoldering",185.166000,-134.874000,270.000000,bottom
"D19","1N4148","D_SOD-323_HandSoldering",191.516000,-134.874000,270.000000,bottom
"D20","1N4148","D_SOD-323_HandSoldering",198.374000,-134.874000,270.000000,bottom
"D21","1N4148","D_SOD-323_HandSoldering",204.978000,-134.874000,270.000000,bottom
"D22","1N4148","D_SOD-323_HandSoldering",211.582000,-134.874000,270.000000,bottom
"D23","1N4148","D_SOD-323_HandSoldering",198.247000,-113.177000,270.000000,bottom
"D24","1N4148","D_SOD-323_HandSoldering",192.405000,-113.645000,270.000000,bottom
"D25","1N4148","D_SOD-323_HandSoldering",151.892000,-142.494000,270.000000,bottom
"D26","1N4148","D_SOD-323_HandSoldering",158.496000,-142.494000,270.000000,bottom
"D27","1N4148","D_SOD-323_HandSoldering",165.100000,-142.494000,270.000000,bottom
"D28","1N4148","D_SOD-323_HandSoldering",171.704000,-142.494000,270.000000,bottom
"D29","1N4148","D_SOD-323_HandSoldering",178.562000,-142.494000,270.000000,bottom
"D30","1N4148","D_SOD-323_HandSoldering",184.912000,-142.494000,270.000000,bottom
"D31","1N4148","D_SOD-323_HandSoldering",191.770000,-142.494000,270.000000,bottom
"D32","1N4148","D_SOD-323_HandSoldering",198.120000,-142.494000,270.000000,bottom
"D33","1N4148","D_SOD-323_HandSoldering",204.978000,-142.494000,270.000000,bottom
"D34","1N4148","D_SOD-323_HandSoldering",211.582000,-142.494000,270.000000,bottom
"D35","1N4148","D_SOD-323_HandSoldering",185.166000,-120.142000,270.000000,bottom
"D36","1N4148","D_SOD-323_HandSoldering",191.770000,-120.142000,270.000000,bottom
"D37","1N4148","D_SOD-323_HandSoldering",151.892000,-150.114000,270.000000,bottom
"D38","1N4148","D_SOD-323_HandSoldering",158.750000,-150.114000,270.000000,bottom
"D39","1N4148","D_SOD-323_HandSoldering",165.100000,-150.114000,270.000000,bottom
"D40","1N4148","D_SOD-323_HandSoldering",171.958000,-150.114000,270.000000,bottom
"D41","1N4148","D_SOD-323_HandSoldering",178.308000,-150.114000,270.000000,bottom
"D42","1N4148","D_SOD-323_HandSoldering",185.166000,-150.114000,270.000000,bottom
"D43","1N4148","D_SOD-323_HandSoldering",191.770000,-150.114000,270.000000,bottom
"D44","1N4148","D_SOD-323_HandSoldering",198.374000,-150.114000,270.000000,bottom
"D45","1N4148","D_SOD-323_HandSoldering",204.978000,-150.114000,270.000000,bottom
"D46","1N4148","D_SOD-323_HandSoldering",211.836000,-150.114000,270.000000,bottom
"D47","1N4148","D_SOD-323_HandSoldering",198.374000,-120.142000,270.000000,bottom
"D48","1N4148","D_SOD-323_HandSoldering",204.978000,-120.142000,270.000000,bottom
"D49","1N4148","D_SOD-323_HandSoldering",151.892000,-157.734000,270.000000,bottom
"D50","1N4148","D_SOD-323_HandSoldering",158.750000,-157.734000,270.000000,bottom
"D51","1N4148","D_SOD-323_HandSoldering",165.100000,-157.734000,270.000000,bottom
"D52","1N4148","D_SOD-323_HandSoldering",178.562000,-157.734000,270.000000,bottom
"D55","1N4148","D_SOD-323_HandSoldering",204.978000,-157.734000,270.000000,bottom
